web-scraper-order,web-scraper-start-url,Game,Game-href,Title,Release Date,Metascore,User Score,Genre,Num_Players
"1630854046-727","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Deus Ex","https://www.metacritic.com/game/pc/deus-ex","Deus Ex","Jun 23, 2000","90","9.2","Genre(s): Action Adventure,                                            Sci-Fi,                                            Sci-Fi,                                            General","Online Multiplayer"
"1630853902-676","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Lone Echo","https://www.metacritic.com/game/pc/lone-echo","Lone Echo","Jul 20, 2017","89","7.9","Genre(s): Action Adventure,                                            General","null"
"1630853945-691","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Chicory: A Colorful Tale","https://www.metacritic.com/game/pc/chicory-a-colorful-tale","Chicory: A Colorful Tale","Jun 10, 2021","89","7.6","Genre(s): Adventure,                                            General","No Online Multiplayer"
"1630853919-684","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Slay the Spire","https://www.metacritic.com/game/pc/slay-the-spire","Slay the Spire","Jan 23, 2019","89","7.3","Genre(s): Strategy,                                            Turn-Based,                                            Card Battle","No Online Multiplayer"
"1630853899-675","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","FIFA Soccer 12","https://www.metacritic.com/game/pc/fifa-soccer-12","FIFA Soccer 12","Sep 27, 2011","89","7.1","Genre(s): Sports,                                            Traditional,                                            Team,                                            Soccer,                                            Sim,                                            Sim","null"
"1630853963-697","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","The Elder Scrolls III: Morrowind","https://www.metacritic.com/game/pc/the-elder-scrolls-iii-morrowind","The Elder Scrolls III: Morrowind","May  1, 2002","89","8.9","Genre(s): Role-Playing,                                            First-Person,                                            First-Person,                                            Western-Style","No Online Multiplayer"
"1630853895-674","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Mass Effect 3","https://www.metacritic.com/game/pc/mass-effect-3","Mass Effect 3","Mar  6, 2012","89","6.0","Genre(s): Role-Playing,                                            Action RPG,                                            Action RPG","Up to 4"
"1630853995-710","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Grand Theft Auto IV","https://www.metacritic.com/game/pc/grand-theft-auto-iv","Grand Theft Auto IV","Dec  2, 2008","90","7.0","Genre(s): Action Adventure,                                            Modern,                                            Modern,                                            Open-World","1 Player"
"1630853924-686","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Guild Wars","https://www.metacritic.com/game/pc/guild-wars","Guild Wars","Apr 26, 2005","89","8.3","Genre(s): Role-Playing,                                            General,                                            General,                                            Massively Multiplayer","64+"
"1630854032-721","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Bayonetta","https://www.metacritic.com/game/pc/bayonetta","Bayonetta","Apr 11, 2017","90","8.1","Genre(s): Action Adventure,                                            Linear","No Online Multiplayer"
"1630853869-666","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Return of the Obra Dinn","https://www.metacritic.com/game/pc/return-of-the-obra-dinn","Return of the Obra Dinn","Oct 18, 2018","89","8.4","Genre(s): Adventure,                                            3D,                                            First-Person","No Online Multiplayer"
"1630853809-646","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Warcraft III: The Frozen Throne","https://www.metacritic.com/game/pc/warcraft-iii-the-frozen-throne","Warcraft III: The Frozen Throne","Jul  1, 2003","88","9.2","Genre(s): Strategy,                                            Real-Time,                                            Fantasy,                                            General,                                            Fantasy","1-12"
"1630853954-694","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","World Soccer Winning Eleven 9","https://www.metacritic.com/game/pc/world-soccer-winning-eleven-9","World Soccer Winning Eleven 9","Apr 28, 2006","89","8.2","Genre(s): Sports,                                            Traditional,                                            Team,                                            Soccer,                                            Sim,                                            Sim","null"
"1630853836-652","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Superbike 2001","https://www.metacritic.com/game/pc/superbike-2001","Superbike 2001","Oct  9, 2000","88","6.7","Genre(s): Driving,                                            Racing,                                            Simulation,                                            Motorcycle,                                            Automobile,                                            Street,                                            Street","1-6"
"1630853813-647","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Ori and the Will of the Wisps","https://www.metacritic.com/game/pc/ori-and-the-will-of-the-wisps","Ori and the Will of the Wisps","Mar 11, 2020","88","8.7","Genre(s): Action,                                            Platformer,                                            2D","No Online Multiplayer"
"1630853933-688","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Mass Effect","https://www.metacritic.com/game/pc/mass-effect","Mass Effect","May 28, 2008","89","8.6","Genre(s): Role-Playing,                                            Action RPG,                                            Console-style RPG,                                            Japanese-Style,                                            Western-Style","No Online Multiplayer"
"1630853981-705","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","The Witcher 3: Wild Hunt - Hearts of Stone","https://www.metacritic.com/game/pc/the-witcher-3-wild-hunt---hearts-of-stone","The Witcher 3: Wild Hunt - Hearts of Stone","Oct 13, 2015","89","9.1","Genre(s): Role-Playing,                                            Action RPG","null"
"1630853988-707","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Kentucky Route Zero - Act IV","https://www.metacritic.com/game/pc/kentucky-route-zero---act-iv","Kentucky Route Zero - Act IV","Jul 20, 2016","90","6.3","Genre(s): Adventure,                                            General","null"
"1630853875-668","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Madden NFL 2003","https://www.metacritic.com/game/pc/madden-nfl-2003","Madden NFL 2003","Aug 12, 2002","89","7.1","Genre(s): Sports,                                            Traditional,                                            Team,                                            Football,                                            Sim,                                            Sim","1-4"
"1630854039-724","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut","https://www.metacritic.com/game/pc/the-chronicles-of-riddick-escape-from-butcher-bay---developers-cut","The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut","Dec  8, 2004","90","8.6","Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Sci-Fi,                                            Sci-Fi,                                            Arcade","No Online Multiplayer"
"1630853865-664","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Prince of Persia: The Sands of Time","https://www.metacritic.com/game/pc/prince-of-persia-the-sands-of-time","Prince of Persia: The Sands of Time","Dec  2, 2003","89","8.5","Genre(s): Action Adventure,                                            Fantasy,                                            Fantasy,                                            Linear","No Online Multiplayer"
"1630853873-667","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","DiRT 2","https://www.metacritic.com/game/pc/dirt-2","DiRT 2","Dec  8, 2009","89","8.2","Genre(s): Driving,                                            Racing,                                            Simulation,                                            Rally / Offroad,                                            Rally / Offroad,                                            Automobile","null"
"1630854001-713","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Freedom Force","https://www.metacritic.com/game/pc/freedom-force","Freedom Force","Mar 24, 2002","90","7.8","Genre(s): Role-Playing,                                            Action RPG,                                            Action RPG","1-4"
"1630853906-678","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Far Cry","https://www.metacritic.com/game/pc/far-cry","Far Cry","Mar 23, 2004","89","8.0","Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Modern,                                            Modern,                                            Arcade","No Online Multiplayer"
"1630854044-726","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Half-Life 2: Episode Two","https://www.metacritic.com/game/pc/half-life-2-episode-two","Half-Life 2: Episode Two","Oct 10, 2007","90","9.2","Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Sci-Fi,                                            Sci-Fi,                                            Arcade","1 Player"
"1630854003-714","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Guild Wars 2","https://www.metacritic.com/game/pc/guild-wars-2","Guild Wars 2","Aug 28, 2012","90","8.0","Genre(s): General,                                            Role-Playing,                                            Massively Multiplayer Online,                                            Massively Multiplayer,                                            Fantasy,                                            Fantasy","Massively Multiplayer"
"1630853937-689","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Devil May Cry 5","https://www.metacritic.com/game/pc/devil-may-cry-5","Devil May Cry 5","Mar  7, 2019","89","8.6","Genre(s): Action Adventure,                                            General","Online Multiplayer"
"1630853990-708","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Empire: Total War","https://www.metacritic.com/game/pc/empire-total-war","Empire: Total War","Mar  3, 2009","90","7.0","Genre(s): Strategy,                                            Real-Time,                                            Historic,                                            General,                                            Historic","Online Multiplayer"
"1630853917-683","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Max Payne","https://www.metacritic.com/game/pc/max-payne","Max Payne","Jul 23, 2001","89","9.1","Genre(s): Action,                                            Shooter,                                            Shooter,                                            Third-Person,                                            Modern,                                            Modern,                                            Arcade","No Online Multiplayer"
"1630853999-712","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Into the Breach","https://www.metacritic.com/game/pc/into-the-breach","Into the Breach","Feb 27, 2018","90","7.8","Genre(s): Strategy,                                            Turn-Based,                                            General,                                            Tactics","No Online Multiplayer"
"1630853862-663","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","What Remains of Edith Finch","https://www.metacritic.com/game/pc/what-remains-of-edith-finch","What Remains of Edith Finch","Apr 24, 2017","89","8.4","Genre(s): Adventure,                                            3D,                                            First-Person","No Online Multiplayer"
"1630853845-656","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Sekiro: Shadows Die Twice","https://www.metacritic.com/game/pc/sekiro-shadows-die-twice","Sekiro: Shadows Die Twice","Mar 22, 2019","88","8.3","Genre(s): Action Adventure,                                            General","No Online Multiplayer"
"1630854037-723","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Sid Meier's Civilization III","https://www.metacritic.com/game/pc/sid-meiers-civilization-iii","Sid Meier's Civilization III","Oct 30, 2001","90","8.4","Genre(s): Strategy,                                            Turn-Based,                                            Historic,                                            Historic,                                            4X","1 Player"
"1630853840-654","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Crusader Kings II: The Old Gods","https://www.metacritic.com/game/pc/crusader-kings-ii-the-old-gods","Crusader Kings II: The Old Gods","May 28, 2013","88","8.8","Genre(s): Strategy,                                            Real-Time,                                            Historic,                                            General,                                            Historic","null"
"1630853877-669","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Psychonauts 2","https://www.metacritic.com/game/pc/psychonauts-2","Psychonauts 2","Aug 25, 2021","89","5.8","Genre(s): Action,                                            Platformer,                                            3D,                                            Beat-'Em-Up,                                            Action Adventure,                                            Open-World","No Online Multiplayer"
"1630853950-693","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Dead Cells","https://www.metacritic.com/game/pc/dead-cells","Dead Cells","Aug  7, 2018","89","8.1","Genre(s): Action,                                            Platformer,                                            2D","No Online Multiplayer"
"1630853948-692","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","There is no game : Wrong dimension","https://www.metacritic.com/game/pc/there-is-no-game-wrong-dimension","There is no game : Wrong dimension","Aug  6, 2020","89","8.8","Genre(s): Adventure,                                            General,                                            Point-and-Click","No Online Multiplayer"
"1630853985-706","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Command & Conquer: Red Alert","https://www.metacritic.com/game/pc/command-conquer-red-alert","Command & Conquer: Red Alert","Oct 31, 1996","90","8.7","Genre(s): Strategy,                                            Real-Time,                                            Sci-Fi,                                            Sci-Fi,                                            Command","1-6"
"1630853822-650","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Kerbal Space Program","https://www.metacritic.com/game/pc/kerbal-space-program","Kerbal Space Program","Apr 27, 2015","88","8.2","Genre(s): Sci-Fi,                                            Small Spaceship,                                            Small Spaceship,                                            Simulation,                                            Space,                                            Combat","No Online Multiplayer"
"1630854050-729","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Stephen's Sausage Roll","https://www.metacritic.com/game/pc/stephens-sausage-roll","Stephen's Sausage Roll","Apr 18, 2016","90","5.5","Genre(s): Puzzle,                                            Action,                                            General","No Online Multiplayer"
"1630853888-672","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Descent 3","https://www.metacritic.com/game/pc/descent-3","Descent 3","Jun 14, 2000","89","7.7","Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Sci-Fi,                                            Sci-Fi,                                            Arcade","1-16"
"1630854041-725","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Braid","https://www.metacritic.com/game/pc/braid","Braid","Apr 10, 2009","90","8.6","Genre(s): Action,                                            Platformer,                                            Platformer,                                            2D,                                            2D","No Online Multiplayer"
"1630853820-649","https://www.metacritic.com/browse/games/score/metascore/all/pc/filtered?page=1","Tribes 2","https://www.metacritic.com/game/pc/tribes-2","Tribes 2","Mar 28, 2001","88","8.3","Genre(s): Action,                                            Shooter,                                            Shooter,                                            First-Person,                                            Sci-Fi,                                            Sci-Fi,                                            Arcade","null"
